日K基準,執行UTC,組合$,純A$,純趨勢$,A命中率,趨勢命中率,A燈,趨勢燈,forward天數
2026-08-20,2026-08-21 01:57,9847,8322,11419,52.6,53.8,🟢綠燈,🟢綠燈,42
2026-08-21,2026-08-22 01:49,9947,7872,12269,52.6,55.1,🟢綠燈,🟢綠燈,43
2026-08-22,2026-08-23 01:59,9903,7939,12055,52.5,54.1,🟢綠燈,🟢綠燈,44
2026-08-23,2026-08-24 01:57,9950,7903,12226,52.4,54.9,🟢綠燈,🟢綠燈,45
2026-08-24,2026-08-25 01:52,10062,7919,12475,51.8,56.5,🟡黃燈,🟢綠燈,46
2026-08-25,2026-08-26 01:57,10071,8053,12285,52.1,55.1,🟢綠燈,🟢綠燈,47
2026-08-26,2026-08-27 00:47,10162,7960,12649,51.1,56.2,🟡黃燈,🟢綠燈,48
2026-08-27,2026-08-28 00:25,10266,7894,13014,50.8,57.3,🟡黃燈,🟢綠燈,49
2026-08-28,2026-08-29 01:45,10138,7968,12568,51.7,55.9,🟡黃燈,🟢綠燈,50
2026-08-29,2026-08-30 05:23,10187,7978,12673,51.2,56.9,🟡黃燈,🟢綠燈,51
